anonymous_id,total_tweets,baseline_sad_frac,max_tweet_window_sad_frac,max_day_window_sad_frac,num_flag_periods,total_flagged_days,first_tweet_ts,last_tweet_ts
user_001,530,0.3302,0.65,0.3623,3,1.26,2009-08-26T13:19:08+00:00,2009-09-02T06:01:30+00:00
user_002,3,0.0,,0.0,0,0.0,2010-11-02T19:24:45+00:00,2010-11-02T19:31:09+00:00
user_003,2,0.0,,0.0,0,0.0,2012-09-05T19:34:57+00:00,2012-09-05T19:34:57+00:00
user_004,196,0.0714,0.2,0.1311,0,0.0,2012-12-08T20:36:17+00:00,2013-01-07T03:51:03+00:00
user_005,161,0.2857,0.6,0.4167,2,0.45,2013-01-03T15:38:54+00:00,2013-01-08T11:02:52+00:00
user_006,125,0.04,0.15,0.1579,0,0.0,2013-02-03T02:57:06+00:00,2013-02-28T04:52:01+00:00
user_007,56,0.0893,0.15,0.1429,0,0.0,2013-04-27T01:17:38+00:00,2013-05-01T16:58:19+00:00
user_008,144,0.0972,0.25,0.2115,0,0.0,2013-12-26T02:04:42+00:00,2014-01-24T23:20:21+00:00
user_009,1,1.0,,1.0,0,0.0,2014-02-13T13:59:05+00:00,2014-02-13T13:59:05+00:00
user_010,2,0.0,,0.0,0,0.0,2014-03-13T14:25:55+00:00,2014-03-13T14:25:55+00:00
user_011,84,0.0833,0.15,0.5,0,0.0,2014-09-03T11:19:08+00:00,2014-10-02T15:55:05+00:00
user_012,2,0.0,,0.0,0,0.0,2014-09-16T13:06:03+00:00,2014-09-23T20:17:30+00:00
user_013,717,0.0697,0.2,0.25,0,0.0,2014-10-06T05:23:54+00:00,2014-11-05T05:23:27+00:00
user_014,1,1.0,,1.0,0,0.0,2014-10-08T15:23:44+00:00,2014-10-08T15:23:44+00:00
user_015,109,0.0092,0.05,0.0263,0,0.0,2014-10-25T21:04:50+00:00,2014-11-24T20:55:37+00:00
user_016,142,0.1127,0.35,0.1585,0,0.0,2014-12-22T12:20:34+00:00,2015-01-19T00:09:30+00:00
user_017,725,0.069,0.3,1.0,0,0.0,2014-12-24T00:07:11+00:00,2015-01-22T23:01:46+00:00
user_018,29,0.0345,0.05,0.0385,0,0.0,2014-12-25T20:56:18+00:00,2015-01-24T16:19:34+00:00
user_019,188,0.0585,0.1,0.2,0,0.0,2015-01-17T13:12:29+00:00,2015-02-16T01:15:44+00:00
user_020,59,0.1017,0.15,1.0,0,0.0,2015-01-23T07:01:33+00:00,2015-02-22T00:23:10+00:00
user_021,71,0.0141,0.05,0.0294,0,0.0,2015-01-25T22:00:00+00:00,2015-02-24T19:00:02+00:00
user_022,25,0.08,0.1,0.125,0,0.0,2015-01-31T21:22:24+00:00,2015-03-02T02:15:49+00:00
user_023,78,0.0385,0.1,0.2,0,0.0,2015-02-17T20:32:38+00:00,2015-03-19T13:37:06+00:00
user_024,458,0.0939,0.3,1.0,0,0.0,2015-03-04T04:41:36+00:00,2015-03-24T22:23:59+00:00
user_025,177,0.0282,0.15,0.0351,0,0.0,2015-03-13T14:02:26+00:00,2015-03-27T08:09:43+00:00
user_026,62,0.371,0.5,1.0,0,0.0,2015-03-17T04:04:32+00:00,2015-04-16T00:33:25+00:00
user_027,40,0.15,0.2,0.25,0,0.0,2015-03-21T02:47:25+00:00,2015-04-17T03:27:51+00:00
user_028,4,0.5,,1.0,0,0.0,2015-03-27T11:16:44+00:00,2015-03-27T11:18:05+00:00
user_029,117,0.0855,0.15,1.0,0,0.0,2015-04-01T23:44:35+00:00,2015-05-01T23:44:25+00:00
user_030,5,0.6,,0.6,0,0.0,2015-04-04T01:15:21+00:00,2015-04-04T01:30:57+00:00
user_031,888,0.5293,0.95,0.7069,12,15.48,2015-04-07T07:20:50+00:00,2015-05-07T06:14:41+00:00
user_032,60,0.0333,0.05,0.0556,0,0.0,2015-04-12T01:24:58+00:00,2015-05-03T17:34:57+00:00
user_033,306,0.0588,0.15,0.5,0,0.0,2015-04-25T12:00:16+00:00,2015-05-25T03:04:02+00:00
user_034,138,0.0797,0.2,1.0,0,0.0,2015-04-26T16:28:54+00:00,2015-05-25T21:13:33+00:00
user_035,69,0.1304,0.2,0.2222,0,0.0,2015-05-04T21:29:35+00:00,2015-06-03T21:04:09+00:00
user_036,352,0.0938,0.25,0.1818,0,0.0,2015-07-01T22:56:37+00:00,2015-07-31T21:08:50+00:00
user_037,243,0.1111,0.45,0.1652,1,1.47,2015-07-31T14:25:11+00:00,2015-08-30T07:48:37+00:00
user_038,221,0.0452,0.15,1.0,0,0.0,2015-09-01T18:50:38+00:00,2015-09-30T18:25:17+00:00
user_039,119,0.0924,0.35,0.1818,0,0.0,2015-09-07T16:15:41+00:00,2015-10-07T13:15:50+00:00
user_040,35,0.1143,0.15,0.5,0,0.0,2015-09-17T03:48:57+00:00,2015-10-16T22:24:10+00:00
user_041,257,0.1012,0.3,0.129,0,0.0,2015-09-19T04:28:05+00:00,2015-10-19T01:30:04+00:00
user_042,650,0.2754,0.55,0.375,6,5.86,2015-10-08T16:05:37+00:00,2015-11-07T14:15:26+00:00
user_043,633,0.0727,0.25,0.0811,0,0.0,2015-10-16T03:17:02+00:00,2015-11-02T02:45:32+00:00
user_044,40,0.025,0.05,0.0455,0,0.0,2015-10-18T05:53:51+00:00,2015-11-15T05:17:24+00:00
user_045,120,0.15,0.3,0.25,0,0.0,2015-11-01T17:24:11+00:00,2015-11-30T14:35:03+00:00
user_046,332,0.0934,0.2,0.1163,0,0.0,2015-11-02T15:43:25+00:00,2015-12-02T07:26:58+00:00
user_047,4,0.25,,0.25,0,0.0,2015-11-15T18:45:04+00:00,2015-11-16T08:17:36+00:00
user_048,698,0.0817,0.25,1.0,0,0.0,2015-11-25T18:40:49+00:00,2015-12-25T00:36:22+00:00
user_049,50,0.2,0.25,0.4,0,0.0,2015-12-25T07:24:15+00:00,2016-01-24T05:07:35+00:00
user_050,1,1.0,,1.0,0,0.0,2016-02-10T12:55:45+00:00,2016-02-10T12:55:45+00:00
user_051,341,0.0997,0.3,0.5,0,0.0,2016-02-20T23:19:00+00:00,2016-03-21T22:18:15+00:00
user_052,100,0.06,0.15,0.3,0,0.0,2016-03-06T16:02:58+00:00,2016-04-03T19:47:20+00:00
user_053,1,0.0,,0.0,0,0.0,2016-03-13T16:51:11+00:00,2016-03-13T16:51:11+00:00
user_054,29,0.1034,0.1,1.0,0,0.0,2016-03-25T06:15:19+00:00,2016-04-09T19:12:19+00:00
user_055,396,0.053,0.15,0.125,0,0.0,2016-12-13T09:13:36+00:00,2017-01-12T08:13:18+00:00
user_056,95,0.0842,0.2,0.1304,0,0.0,2016-12-13T14:44:30+00:00,2017-01-12T08:13:35+00:00
user_057,1276,0.0682,0.35,0.1056,0,0.0,2016-12-13T15:48:21+00:00,2017-01-12T08:13:14+00:00
user_058,1504,0.0685,0.3,0.0927,0,0.0,2016-12-13T18:35:22+00:00,2017-01-12T08:13:33+00:00
user_059,543,0.0958,0.3,0.12,0,0.0,2016-12-13T20:20:18+00:00,2017-01-12T08:13:42+00:00
user_060,792,0.0884,0.25,0.12,0,0.0,2016-12-13T22:26:54+00:00,2017-01-12T08:13:47+00:00
user_061,131,0.0763,0.25,0.1023,0,0.0,2016-12-14T02:13:16+00:00,2017-01-12T08:13:05+00:00
user_062,215,0.0651,0.2,0.1184,0,0.0,2016-12-14T04:40:25+00:00,2017-01-12T08:13:53+00:00
user_063,112,0.0357,0.1,0.0789,0,0.0,2016-12-14T04:44:41+00:00,2017-01-12T08:13:50+00:00
user_064,17,0.1765,,0.5,0,0.0,2016-12-14T18:38:53+00:00,2017-01-12T08:13:04+00:00
user_065,193,0.0052,0.05,0.0312,0,0.0,2016-12-15T12:43:53+00:00,2017-01-12T08:13:21+00:00
user_066,2117,0.0727,0.35,0.5,0,0.0,2016-12-16T17:49:24+00:00,2017-01-12T08:13:17+00:00
user_067,1593,0.0,0.0,0.0,0,0.0,2016-12-17T10:14:08+00:00,2017-01-12T08:13:20+00:00
user_068,121,0.0909,0.2,0.1163,0,0.0,2016-12-18T04:10:17+00:00,2017-01-12T08:13:15+00:00
user_069,2,0.0,,0.0,0,0.0,2016-12-24T11:16:42+00:00,2017-01-12T08:13:28+00:00
user_070,11,0.0909,,0.1,0,0.0,2016-12-29T13:48:54+00:00,2017-01-12T08:13:47+00:00
user_071,522,0.0383,0.25,0.0422,0,0.0,2017-01-04T22:42:43+00:00,2017-01-12T08:13:33+00:00
user_072,360,0.0528,0.25,0.2,0,0.0,2017-01-12T00:04:47+00:00,2017-01-12T08:13:47+00:00
